path,project_name,github_url
data/awesome/jwt-cpp,jwt-cpp,https://github.com/Thalhammer/jwt-cpp
data/awesome/kaldi,kaldi,https://github.com/kaldi-asr/kaldi
data/awesome/kangaru,kangaru,https://github.com/gracicot/kangaru
data/awesome/kanzi-cpp,kanzi-cpp,https://github.com/flanglet/kanzi-cpp
data/awesome/kigs,kigs,https://github.com/Kigs-framework/kigs
data/awesome/kissfft,kissfft,https://github.com/mborgerding/kissfft
data/awesome/KlayGE,KlayGE,https://github.com/gongminmin/KlayGE
data/awesome/klein,klein,https://github.com/jeremyong/klein
data/awesome/kokkos,kokkos,https://github.com/kokkos/kokkos
data/awesome/Kratos,Kratos,https://github.com/KratosMultiphysics/Kratos
data/awesome/lammps,lammps,https://github.com/lammps/lammps
data/awesome/lazycsv,lazycsv,https://github.com/ashtum/lazycsv
data/awesome/leptonica,leptonica,https://github.com/DanBloomberg/leptonica
data/awesome/libarchive,libarchive,https://github.com/libarchive/libarchive
data/awesome/libass,libass,https://github.com/libass/libass
data/awesome/libassert,libassert,https://github.com/jeremy-rifkin/libassert
data/awesome/libav,libav,https://github.com/libav/libav
data/awesome/libavif,libavif,https://github.com/AOMediaCodec/libavif
data/awesome/libbson,libbson,https://github.com/mongodb/libbson
data/awesome/libcds,libcds,https://github.com/khizmax/libcds
data/awesome/libclsph,libclsph,https://github.com/libclsph/libclsph
data/awesome/libconfig,libconfig,https://github.com/hyperrealm/libconfig
data/awesome/libconfuse,libconfuse,https://github.com/martinh/libconfuse
data/awesome/libcpuid,libcpuid,https://github.com/anrieff/libcpuid
data/awesome/libcsptr,libcsptr,https://github.com/Snaipe/libcsptr
data/awesome/libdill,libdill,https://github.com/sustrik/libdill
data/awesome/libenvpp,libenvpp,https://github.com/ph3at/libenvpp
data/awesome/libevil,libevil,https://github.com/avati/libevil
data/awesome/libffi,libffi,https://github.com/libffi/libffi
data/awesome/libfork,libfork,https://github.com/ConorWilliams/libfork
data/awesome/libgd,libgd,https://github.com/libgd/libgd
data/awesome/libharu,libharu,https://github.com/libharu/libharu
data/awesome/libhttpserver,libhttpserver,https://github.com/etr/libhttpserver
data/awesome/libhv,libhv,https://github.com/ithewei/libhv
data/awesome/libhydrogen,libhydrogen,https://github.com/jedisct1/libhydrogen
data/awesome/libigl,libigl,https://github.com/libigl/libigl
data/awesome/libjson,libjson,https://github.com/vincenthz/libjson
data/awesome/libjson-rpc-cpp,libjson-rpc-cpp,https://github.com/cinemast/libjson-rpc-cpp
data/awesome/libmill,libmill,https://github.com/sustrik/libmill
data/awesome/libnih,libnih,https://github.com/keybuk/libnih
data/awesome/libpcap,libpcap,https://github.com/the-tcpdump-group/libpcap
data/awesome/libpg_query,libpg_query,https://github.com/pganalyze/libpg_query
data/awesome/libphenom,libphenom,https://github.com/facebook/libphenom
data/awesome/libpng,libpng,https://github.com/pnggroup/libpng
data/awesome/libpqxx,libpqxx,https://github.com/jtv/libpqxx
data/awesome/libquic,libquic,https://github.com/devsisters/libquic
data/awesome/librdkafka,librdkafka,https://github.com/edenhill/librdkafka
data/awesome/libschrift,libschrift,https://github.com/tomolt/libschrift
data/awesome/libserial,libserial,https://github.com/crayzeewulf/libserial
data/awesome/libsigcplusplus,libsigcplusplus,https://github.com/libsigcplusplus/libsigcplusplus
data/awesome/libsndfile,libsndfile,https://github.com/erikd/libsndfile
data/awesome/libsodium,libsodium,https://github.com/jedisct1/libsodium
data/awesome/libsourcey,libsourcey,https://github.com/sourcey/libsourcey
data/awesome/libspng,libspng,https://github.com/randy408/libspng
data/awesome/libsvm,libsvm,https://github.com/cjlin1/libsvm
data/awesome/libtap,libtap,https://github.com/zorgnax/libtap
data/awesome/libtomcrypt,libtomcrypt,https://github.com/libtom/libtomcrypt
data/awesome/libtommath,libtommath,https://github.com/libtom/libtommath
data/awesome/libtorrent,libtorrent,https://github.com/rakshasa/libtorrent
data/awesome/libu,libu,https://github.com/koanlogic/libu
data/awesome/libucl,libucl,https://github.com/vstakhov/libucl
data/awesome/libutp,libutp,https://github.com/bittorrent/libutp
data/awesome/libuv,libuv,https://github.com/libuv/libuv
data/awesome/libvips,libvips,https://github.com/jcupitt/libvips
data/awesome/libwebsockets,libwebsockets,https://github.com/warmcat/libwebsockets
data/awesome/libxls,libxls,https://github.com/libxls/libxls
data/awesome/libxlsxwriter,libxlsxwriter,https://github.com/jmcnamara/libxlsxwriter
data/awesome/libxutils,libxutils,https://github.com/kala13x/libxutils
data/awesome/libzmq,libzmq,https://github.com/zeromq/libzmq
data/awesome/linenoise,linenoise,https://github.com/antirez/linenoise
data/awesome/linenoise-ng,linenoise-ng,https://github.com/arangodb/linenoise-ng
data/awesome/liquidfun,liquidfun,https://github.com/google/liquidfun
data/awesome/LLGL,LLGL,https://github.com/LukasBanana/LLGL
data/awesome/lmdbxx,lmdbxx,https://github.com/bendiken/lmdbxx
data/awesome/lodepng,lodepng,https://github.com/lvandeve/lodepng
data/awesome/log,log,https://github.com/boostorg/log
data/awesome/log4cplus,log4cplus,https://github.com/log4cplus/log4cplus
data/awesome/loguru,loguru,https://github.com/emilk/loguru
data/awesome/LSHBOX,LSHBOX,https://github.com/RSIA-LIESMARS-WHU/LSHBOX
data/awesome/LuaBridge,LuaBridge,https://github.com/vinniefalco/LuaBridge
data/awesome/LuaBridge3,LuaBridge3,https://github.com/kunitoki/LuaBridge3
data/awesome/luacxx,luacxx,https://github.com/dafrito/luacxx
data/awesome/lunasvg,lunasvg,https://github.com/sammycage/lunasvg
data/awesome/lwlog,lwlog,https://github.com/ChristianPanov/lwlog
data/awesome/Lyra,Lyra,https://github.com/bfgroup/Lyra
data/awesome/lz4,lz4,https://github.com/lz4/lz4
data/awesome/lzfse,lzfse,https://github.com/lzfse/lzfse
data/awesome/m2cgen,m2cgen,https://github.com/BayesWitnesses/m2cgen
data/awesome/Mach7,Mach7,https://github.com/solodon4/Mach7
data/awesome/madness,madness,https://github.com/m-a-d-n-e-s-s/madness
data/awesome/magic_enum,magic_enum,https://github.com/Neargye/magic_enum
data/awesome/magic_get,magic_get,https://github.com/apolukhin/magic_get
data/awesome/magnum,magnum,https://github.com/mosra/magnum
data/awesome/mailio,mailio,https://github.com/karastojko/mailio
data/awesome/marl,marl,https://github.com/google/marl
data/awesome/matplotplusplus,matplotplusplus,https://github.com/alandefreitas/matplotplusplus
data/awesome/MatX,MatX,https://github.com/NVIDIA/MatX
data/awesome/Maximilian,Maximilian,https://github.com/micknoise/Maximilian
data/awesome/mbedtls,mbedtls,https://github.com/ARMmbed/mbedtls
data/awesome/MediaInfoLib,MediaInfoLib,https://github.com/MediaArea/MediaInfoLib
data/awesome/memory,memory,https://github.com/foonathan/memory
data/awesome/memory-allocators,memory-allocators,https://github.com/mtrebi/memory-allocators
data/awesome/meta,meta,https://github.com/skypjack/meta
data/awesome/mgclient,mgclient,https://github.com/memgraph/mgclient
data/awesome/micro-gl,micro-gl,https://github.com/micro-gl/micro-gl
data/awesome/microprofile,microprofile,https://github.com/jonasmr/microprofile
data/awesome/micropython,micropython,https://github.com/micropython/micropython
data/awesome/MiLi,MiLi,https://github.com/MariadeAnton/MiLi
data/awesome/mimalloc,mimalloc,https://github.com/microsoft/mimalloc
data/awesome/minerva,minerva,https://github.com/dmlc/minerva
data/awesome/miniz,miniz,https://github.com/richgel999/miniz
data/awesome/minizip,minizip,https://github.com/nmoinvaz/minizip
data/awesome/minizip-ng,minizip-ng,https://github.com/zlib-ng/minizip-ng
data/awesome/minunit,minunit,https://github.com/siu/minunit
data/awesome/mio,mio,https://github.com/mandreyel/mio
data/awesome/mlpack,mlpack,https://github.com/mlpack/mlpack
data/awesome/moderngpu,moderngpu,https://github.com/moderngpu/moderngpu
data/awesome/mongo-c-driver,mongo-c-driver,https://github.com/mongodb/mongo-c-driver
data/awesome/mongo-cxx-driver,mongo-cxx-driver,https://github.com/mongodb/mongo-cxx-driver
data/awesome/mpqc,mpqc,https://github.com/ValeevGroup/mpqc
data/awesome/MQTT-C,MQTT-C,https://github.com/LiamBindle/MQTT-C
data/awesome/mrpt,mrpt,https://github.com/mrpt/mrpt
data/awesome/mtcp,mtcp,https://github.com/mtcp-stack/mtcp
data/awesome/muduo,muduo,https://github.com/chenshuo/muduo
data/awesome/multiprecision,multiprecision,https://github.com/boostorg/multiprecision
data/awesome/mxml,mxml,https://github.com/michaelrsweet/mxml
data/awesome/mygui,mygui,https://github.com/MyGUI/mygui
data/awesome/nameof,nameof,https://github.com/Neargye/nameof
data/awesome/nanobench,nanobench,https://github.com/martinus/nanobench
data/awesome/nanodbc,nanodbc,https://github.com/nanodbc/nanodbc
data/awesome/nanogui,nanogui,https://github.com/mitsuba-renderer/nanogui
data/awesome/nanomsg,nanomsg,https://github.com/nanomsg/nanomsg
data/awesome/nanopb,nanopb,https://github.com/nanopb/nanopb
data/awesome/nccl,nccl,https://github.com/NVIDIA/nccl
data/awesome/nCine,nCine,https://github.com/nCine/nCine
data/awesome/ncnn,ncnn,https://github.com/Tencent/ncnn
